customerID,actual_churn_label,predicted_probability,risk_score_0_100,risk_band,predicted_label_threshold_0_50,selected_model_name,dataset_partition,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,tenure_group,monthly_charge_band,total_charge_band,service_count,support_services_count,streaming_services_count,has_fiber_optic,is_month_to_month,uses_electronic_check,is_senior_citizen_flag,top_risk_driver_1,top_risk_driver_2,risk_driver_summary_short
7590-VHVEG,No,0.8056,81,Critical,1,Random Forest,train,Female,0,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,0-12 months,Low,Low Lifetime Value,2,1,0,No,Yes,Yes,No,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
5575-GNVDE,No,0.0987,10,Low,0,Random Forest,train,Male,0,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,25-48 months,Moderate,High Lifetime Value,4,2,0,No,No,No,No,No tech support,No dependents,No single dominant cue; review full customer profile.
3668-QPYBK,Yes,0.6585,66,High,1,Random Forest,train,Male,0,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,0-12 months,Moderate,Low Lifetime Value,4,2,0,No,Yes,No,No,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
7795-CFOCW,No,0.0837,8,Low,0,Random Forest,train,Male,0,No,No,45,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,25-48 months,Moderate,High Lifetime Value,4,3,0,No,No,No,No,No dependents,No secondary cue,No single dominant cue; review full customer profile.
9237-HQITU,Yes,0.8122,81,Critical,1,Random Forest,train,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,0-12 months,High,Low Lifetime Value,2,0,0,Yes,Yes,Yes,No,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
9305-CDSKC,Yes,0.8768,88,Critical,1,Random Forest,train,Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,0-12 months,High,Moderate Lifetime Value,6,1,2,Yes,Yes,Yes,No,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
1452-KIOVK,No,0.6507,65,High,1,Random Forest,test,Male,0,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,13-24 months,High,High Lifetime Value,5,1,1,Yes,Yes,No,No,Month-to-month contract,Fiber optic service,Associated with month-to-month contract and fiber optic service.
6713-OKOMC,No,0.4839,48,Moderate,0,Random Forest,test,Female,0,No,No,10,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,0-12 months,Low,Low Lifetime Value,2,1,0,No,Yes,No,No,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
7892-POOKP,Yes,0.7251,73,High,1,Random Forest,train,Female,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,25-48 months,Very High,Very High Lifetime Value,7,2,2,Yes,Yes,Yes,No,Month-to-month contract,Fiber optic service,Associated with month-to-month contract and fiber optic service.
6388-TABGU,No,0.0814,8,Low,0,Random Forest,test,Male,0,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,49+ months,Moderate,Very High Lifetime Value,4,2,0,No,No,No,No,No tech support,No secondary cue,No single dominant cue; review full customer profile.
